Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.135-20.42.73.24-1173-443-6,192.168.8.135,1173,20.42.73.24,443,6,03/05/2023 09:02:35 PM,25057206,6,8,675.0,6342.0,517.0,0.0,112.5,207.99783652721007,1400.0,0.0,792.75,685.8218740001976,280.03920309391236,0.5587215110894647,1927477.3846153847,6662304.912348273,2.4096809E7,0.0,2.4749005E7,4949801.0,1.0704745529129172E7,2.4096809E7,280.0,908151.0,129735.85714285714,161837.61724377572,308115.0,0.0,0,0,0,0,120,184,0.23945207618119912,0.3192694349082655,0.0,1400.0,467.79999999999995,617.0078952956299,380698.7428571429,0,1,0,0,0,0,0,0,1.0,501.2142857142857,112.5,792.75,0,0,0,0,0,0,6,675,8,6342,-1,2048,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-20.42.73.24-1172-443-6,192.168.8.135,1172,20.42.73.24,443,6,03/05/2023 09:02:35 PM,25321419,26,17,26970.0,6821.0,1400.0,0.0,1037.3076923076922,583.9884087363905,1400.0,0.0,401.2352941176471,602.7383894995162,1334.4828739653178,1.6981670734961576,602890.9285714285,3665304.074530172,2.3782678E7,0.0,2.5019437E7,1000777.48,4747622.676761059,2.3782678E7,0.0,1538687.0,96167.9375,145438.63842297604,321581.0,0.0,0,0,0,0,520,364,1.0267986956023278,0.6713683778938297,0.0,1400.0,767.9772727272727,666.4912110112028,444210.5343551797,0,1,0,0,0,0,0,0,0.0,785.8372093023256,1037.3076923076924,401.2352941176471,0,0,0,0,0,0,26,26970,17,6821,-1,2050,22,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-20.42.73.24-1162-443-6,192.168.8.135,1162,20.42.73.24,443,6,03/05/2023 09:02:43 PM,17041758,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.05867939211435815,0.17603817634307445,8520879.0,1.1591663689387819E7,1.6717423E7,324335.0,0,0,0,0,0,324335.0,324335.0,0.0,324335.0,324335.0,0,0,0,0,20,52,0.05867939211435815,0.1173587842287163,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,2048,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-20.42.73.24-1160-443-6,192.168.8.135,1160,20.42.73.24,443,6,03/05/2023 09:02:46 PM,14549789,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0687295190328877,0.20618855709866307,7274894.5,9868713.871319834,1.4253129E7,296660.0,0,0,0,0,0,296660.0,296660.0,0.0,296660.0,296660.0,0,0,0,0,20,52,0.0687295190328877,0.1374590380657754,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,2050,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.6.163-1157-443-6,192.168.8.135,1157,13.107.6.163,443,6,03/05/2023 09:02:34 PM,26542707,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.03767513238193829,0.11302539714581486,1.32713535E7,1.8651135657148615E7,2.6459698E7,83009.0,0,0,0,0,0,83009.0,83009.0,0.0,83009.0,83009.0,0,0,0,0,20,52,0.03767513238193829,0.07535026476387657,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-52.109.124.112-1167-443-6,192.168.8.135,1167,52.109.124.112,443,6,03/05/2023 09:02:53 PM,7113256,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.14058259677424798,0.4217477903227439,3556628.0,4905109.231423088,7025064.0,88192.0,0,0,0,0,0,88192.0,88192.0,0.0,88192.0,88192.0,0,0,0,0,20,52,0.14058259677424798,0.28116519354849595,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,2050,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-52.114.15.111-1158-443-6,192.168.8.135,1158,52.114.15.111,443,6,03/05/2023 09:02:46 PM,14103133,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.07090623055175045,0.21271869165525137,7051566.5,9876284.156519217,1.4035154E7,67979.0,0,0,0,0,0,67979.0,67979.0,0.0,67979.0,67979.0,0,0,0,0,20,52,0.07090623055175045,0.1418124611035009,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,16380,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-52.109.13.64-1050-443-6,192.168.8.135,1050,52.109.13.64,443,6,03/05/2023 09:03:07 PM,305863,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.53887524806858,305863.0,0.0,305863.0,305863.0,0,0,0,0,0,305863.0,305863.0,0.0,305863.0,305863.0,0,0,0,0,0,40,0.0,6.53887524806858,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2047,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-65.1.184.235-1101-443-6,65.1.184.235,443,192.168.8.135,1101,6,03/05/2023 09:03:08 PM,1124,1,5,31.0,31.0,31.0,31.0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,55160.142348754445,5338.078291814946,224.8,389.906655495902,920.0,0.0,0,0,0,0,0,1124.0,281.0,426.2002659157625,920.0,52.0,0,0,0,0,20,100,889.6797153024911,4448.398576512455,0.0,31.0,8.857142857142858,15.126451130702266,228.80952380952385,1,0,0,0,1,0,0,0,5.0,10.333333333333334,31.0,6.2,0,0,0,0,0,0,1,31,5,31,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-20.78.29.188-1159-443-6,192.168.8.135,1159,20.78.29.188,443,6,03/05/2023 09:03:10 PM,126038,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.868230216283976,126038.0,0.0,126038.0,126038.0,0,0,0,0,0,126038.0,126038.0,0.0,126038.0,126038.0,0,0,0,0,0,40,0.0,15.868230216283976,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2050,0,0,0,0,0,0,0,0,0,0,No Label
